type,source,episodes,status,airing,rating,score,scored_by,popularity,members,genre
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,7.63,139250,231,283882,"Comedy,Supernatural,Romance,Shounen"
TV,Manga,26,FinishedAiring,FALSE,PG-13-Teens13orolder,7.89,91206,366,204003,"Comedy,Parody,Romance,School,Shounen"
TV,Manga,51,FinishedAiring,FALSE,PG-Children,7.55,37129,1173,70127,"Comedy,Magic,School,Shoujo"
TV,Original,38,FinishedAiring,FALSE,PG-13-Teens13orolder,8.21,36501,916,93312,"Comedy,Drama,Magic,Romance,Fantasy"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.67,107767,426,182765,"Comedy,Drama,Romance,Shounen"
TV,Manga,50,FinishedAiring,FALSE,G-AllAges,8.03,21618,1630,45625,"Kids,School,Shoujo"
TV,Manga,26,FinishedAiring,FALSE,G-AllAges,7.26,9663,2490,22778,"Magic,Comedy,Romance,School,Shoujo"
TV,Lightnovel,24,FinishedAiring,FALSE,PG-13-Teens13orolder,7.72,126085,332,220591,"Action,Drama,Fantasy,Romance,School,Supernatural"
TV,Manga,11,FinishedAiring,FALSE,PG-13-Teens13orolder,8.24,53908,988,85660,"Music,SliceofLife,Comedy,Romance,Josei"
TV,Manga,26,FinishedAiring,FALSE,PG-13-Teens13orolder,8.34,335137,69,538843,"Comedy,Harem,Romance,School,Shoujo"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,8.15,66565,799,108186,"Comedy,Drama,Romance,ShounenAi"
TV,Manga,26,FinishedAiring,FALSE,PG-13-Teens13orolder,8.2,315130,71,531292,"Comedy,Romance,School,Shoujo"
TV,Manga,12,FinishedAiring,FALSE,PG-13-Teens13orolder,8.23,53285,945,89543,"Comedy,Drama,Romance,ShounenAi"
TV,Manga,13,FinishedAiring,FALSE,PG-13-Teens13orolder,7.71,281448,88,482105,"SliceofLife,Comedy,Romance,School,Shoujo"
TV,Manga,366,FinishedAiring,FALSE,PG-13-Teens13orolder,7.9,433097,18,819284,"Action,Adventure,Comedy,SuperPower,Supernatural,Shounen"
TV,Manga,26,FinishedAiring,FALSE,PG-13-Teens13orolder,7.53,175388,188,317641,"Sci-Fi,Comedy,Drama,Romance,Ecchi,Seinen"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.13,212710,111,417136,"SliceofLife,Drama,Romance,School,Shoujo"
TV,Manga,500,FinishedAiring,FALSE,PG-13-Teens13orolder,8.18,385179,20,794112,"Action,Adventure,Comedy,SuperPower,MartialArts,Shounen"
TV,Manga,161,FinishedAiring,FALSE,R+-MildNudity,7.85,59911,623,134537,"SliceofLife,Comedy,MartialArts,Fantasy"
TV,Lightnovel,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.39,557898,13,910373,"SliceofLife,Comedy,Romance,School"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.49,122090,374,201720,"Comedy,Drama,Romance,Shounen"
TV,Manga,26,FinishedAiring,FALSE,G-AllAges,7.77,33244,1291,62951,"Comedy,School,Shoujo,SuperPower"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.24,90699,488,164738,"Comedy,Drama,Romance,Shoujo"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.47,62720,757,114340,"Drama,Game,Josei,School,SliceofLife,Sports"
TV,Lightnovel,26,FinishedAiring,FALSE,PG-13-Teens13orolder,7.68,14619,1793,39422,"Action,Magic,Fantasy,Supernatural,Demons,Historical,Shoujo"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,8.29,89081,348,213902,"Drama,Game,Josei,School,SliceofLife,Sports"
TV,Manga,25,FinishedAiring,FALSE,PG-13-Teens13orolder,7.7,91187,473,170224,"Comedy,Romance,Shoujo"
TV,Manga,60,FinishedAiring,FALSE,PG-13-Teens13orolder,8.02,136105,208,302082,"Action,Comedy,Demons,Supernatural,School,Shounen"
TV,Manga,39,FinishedAiring,FALSE,PG-13-Teens13orolder,7.87,16772,1654,44633,"Drama,Romance,Shoujo"
