anime_id,title,type,source,status,rating,score,rank,popularity,genre
1,Cowboy Bebop,TV,Original,Finished Airing,R - 17+ (violence & profanity),8.81,27,38,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
5,Cowboy Bebop: Tengoku no Tobira,Movie,Original,Finished Airing,R - 17+ (violence & profanity),8.41,157,438,"Action, Space, Drama, Mystery, Sci-Fi"
6,Trigun,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.31,234,138,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
7,Witch Hunter Robin,TV,Original,Finished Airing,PG-13 - Teens 13 or older,7.34,2292,1104,"Action, Magic, Police, Supernatural, Drama, Mystery"
8,Beet the Vandel Buster,TV,Manga,Finished Airing,PG - Children,7.04,3400,3495,"Adventure, Fantasy, Shounen, Supernatural"
15,Eyeshield 21,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.05,487,812,"Action, Sports, Comedy, Shounen"
16,Hachimitsu to Clover,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.14,382,500,"Comedy, Drama, Josei, Romance, Slice of Life"
17,Hungry Heart: Wild Striker,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,7.69,1130,2967,"Slice of Life, Comedy, Sports, Shounen"
18,Initial D Fourth Stage,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.24,276,1261,"Action, Cars, Sports, Drama, Seinen"
19,Monster,TV,Manga,Finished Airing,R+ - Mild Nudity,8.69,49,152,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
20,Naruto,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,7.88,745,10,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
21,One Piece,TV,Manga,Currently Airing,PG-13 - Teens 13 or older,8.54,91,35,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
22,Tennis no Ouji-sama,TV,Manga,Finished Airing,PG-13 - Teens 13 or older,8.01,550,806,"Action, Comedy, Sports, School, Shounen"
